Geo_ID,Area Name,Area Type,Year,Variable,Value
37119,Mecklenburg County,County,2000,Motorcyclist Fatalities,11
37119,Mecklenburg County,County,1983,Accidents Caused by Exceeding Legal Speed,2177
37119,Mecklenburg County,County,1994,Bicyclists Injured,77
37119,Mecklenburg County,County,1981,Accidents Caused by Exceeding Legal Speed,1831
37119,Mecklenburg County,County,1980,Motorcyclists Injured,226
37119,Mecklenburg County,County,1992,Motorcyclist Fatalities,5
37119,Mecklenburg County,County,1991,Motorcyclist Fatalities,4
37119,Mecklenburg County,County,1989,School Bus Average Mileage,44187
37119,Mecklenburg County,County,1989,Alcohol Related Accidents,808
37119,Mecklenburg County,County,1989,School Bus Accidents,86
37119,Mecklenburg County,County,1998,Bicyclists Injured,117
37119,Mecklenburg County,County,1986,Accidents Caused by Exceeding Legal Speed,2775
37119,Mecklenburg County,County,1996,School Bus Accidents,136
37119,Mecklenburg County,County,1985,Accidents Caused by Exceeding Legal Speed,2522
37119,Mecklenburg County,County,1985,School Bus Accidents,113
37119,Mecklenburg County,County,1995,Vehicles Inspected,575211
37119,Mecklenburg County,County,1984,Motorcyclist Fatalities,8
37119,Mecklenburg County,County,2001,School Bus Accidents,208
37119,Mecklenburg County,County,2015,Traffic Accident Fatalities,75
37119,Mecklenburg County,County,2014,Paved Highway Mileage,959.21
37119,Mecklenburg County,County,2017,Traffic Accident Fatalities,104
37119,Mecklenburg County,County,2012,Primary Highway Mileage,319.76
37119,Mecklenburg County,County,2013,Persons Injured in Traffic Accidents,9634
37119,Mecklenburg County,County,2013,Traffic Accidents,26928
37119,Mecklenburg County,County,2011,Primary Highway Mileage,317.49
37119,Mecklenburg County,County,2012,Traffic Accidents,25293
37119,Mecklenburg County,County,2011,Traffic Accident Fatalities,68
37119,Mecklenburg County,County,2010,Secondary Highway Mileage,677.01
37119,Mecklenburg County,County,2007,Unpaved Highway Mileage,16.99
37119,Mecklenburg County,County,2007,Paved Highway Mileage,1009.91
37119,Mecklenburg County,County,2007,Primary Highway Mileage,305.66
37119,Mecklenburg County,County,2006,Traffic Accident Fatalities,89
37119,Mecklenburg County,County,2008,Secondary Highway Mileage,723.6
37119,Mecklenburg County,County,2010,Traffic Accidents,21456
37119,Mecklenburg County,County,2006,Auto and Truck Registrations,599571
37119,Mecklenburg County,County,2005,Persons Injured in Traffic Accidents,13863
37119,Mecklenburg County,County,2005,Traffic Accidents,25126
37119,Mecklenburg County,County,2005,Primary Highway Mileage,305.3
37119,Mecklenburg County,County,2004,Auto and Truck Registrations,548546
37119,Mecklenburg County,County,2003,Paved Highway Mileage,989.68
37119,Mecklenburg County,County,2002,Primary Highway Mileage,281.32
37119,Mecklenburg County,County,2000,Paved Highway Mileage,1003.76
37119,Mecklenburg County,County,1982,Paved Highway Mileage,1025.23
37119,Mecklenburg County,County,1993,Secondary Highway Mileage,810.83
37119,Mecklenburg County,County,1993,Primary Highway Mileage,259.13
37119,Mecklenburg County,County,1981,Auto and Truck Registrations,290053
37119,Mecklenburg County,County,1980,Primary Highway Mileage,259.33
37119,Mecklenburg County,County,1980,Persons Injured in Traffic Accidents,8560
37119,Mecklenburg County,County,1992,Primary Highway Mileage,259.31
37119,Mecklenburg County,County,1991,Primary Highway Mileage,259.28
37119,Mecklenburg County,County,1978,Auto and Truck Registrations,275949
37119,Mecklenburg County,County,1990,Paved Highway Mileage,1053
37119,Mecklenburg County,County,1990,Secondary Highway Mileage,858.08
37119,Mecklenburg County,County,1990,Traffic Accidents,20712
37119,Mecklenburg County,County,1975,Traffic Accident Fatalities,84
37119,Mecklenburg County,County,1989,Secondary Highway Mileage,829.99
37119,Mecklenburg County,County,1989,Auto and Truck Registrations,378171
37119,Mecklenburg County,County,1973,Traffic Accident Fatalities,66
