Geo_ID;Area Name;Area Type;Year;Variable;Value
37119;Mecklenburg County;County;1989;Alcohol Related Accidents;808.0
37119;Mecklenburg County;County;1989;School Bus Accidents;86.0
37119;Mecklenburg County;County;1998;Bicyclists Injured;117.0
37119;Mecklenburg County;County;1986;Accidents Caused by Exceeding Legal Speed;2775.0
37119;Mecklenburg County;County;1996;School Bus Accidents;136.0
37119;Mecklenburg County;County;1985;Accidents Caused by Exceeding Legal Speed;2522.0
37119;Mecklenburg County;County;1985;School Bus Accidents;113.0
37119;Mecklenburg County;County;1995;Vehicles Inspected;575211.0
37119;Mecklenburg County;County;1984;Motorcyclist Fatalities;8.0
37119;Mecklenburg County;County;2001;School Bus Accidents;208.0
37119;Mecklenburg County;County;2015;Traffic Accident Fatalities;75.0
37119;Mecklenburg County;County;2014;Paved Highway Mileage;959.21
37119;Mecklenburg County;County;2017;Traffic Accident Fatalities;104.0
37119;Mecklenburg County;County;2012;Primary Highway Mileage;319.76
37119;Mecklenburg County;County;2013;Persons Injured in Traffic Accidents;9634.0
37119;Mecklenburg County;County;2013;Traffic Accidents;26928.0
37119;Mecklenburg County;County;2011;Primary Highway Mileage;317.49
37119;Mecklenburg County;County;2012;Traffic Accidents;25293.0
37119;Mecklenburg County;County;2011;Traffic Accident Fatalities;68.0
37119;Mecklenburg County;County;2010;Secondary Highway Mileage;677.01
37119;Mecklenburg County;County;2007;Unpaved Highway Mileage;16.99
37119;Mecklenburg County;County;2007;Paved Highway Mileage;1009.91
37119;Mecklenburg County;County;2007;Primary Highway Mileage;305.66
37119;Mecklenburg County;County;2006;Traffic Accident Fatalities;89.0
37119;Mecklenburg County;County;2008;Secondary Highway Mileage;723.6
37119;Mecklenburg County;County;2010;Traffic Accidents;21456.0
37119;Mecklenburg County;County;2006;Auto and Truck Registrations;599571.0
37119;Mecklenburg County;County;2005;Persons Injured in Traffic Accidents;13863.0
37119;Mecklenburg County;County;2005;Traffic Accidents;25126.0
37119;Mecklenburg County;County;2005;Primary Highway Mileage;305.3
37119;Mecklenburg County;County;2004;Auto and Truck Registrations;548546.0
37119;Mecklenburg County;County;2003;Paved Highway Mileage;989.68
37119;Mecklenburg County;County;2002;Primary Highway Mileage;281.32
37119;Mecklenburg County;County;2000;Paved Highway Mileage;1003.76
37119;Mecklenburg County;County;1982;Paved Highway Mileage;1025.23
37119;Mecklenburg County;County;1993;Secondary Highway Mileage;810.83
37119;Mecklenburg County;County;1993;Primary Highway Mileage;259.13
37119;Mecklenburg County;County;1981;Auto and Truck Registrations;290053.0
37119;Mecklenburg County;County;1980;Primary Highway Mileage;259.33
37119;Mecklenburg County;County;1980;Persons Injured in Traffic Accidents;8560.0
37119;Mecklenburg County;County;1992;Primary Highway Mileage;259.31
37119;Mecklenburg County;County;1991;Primary Highway Mileage;259.28
37119;Mecklenburg County;County;1978;Auto and Truck Registrations;275949.0
37119;Mecklenburg County;County;1990;Paved Highway Mileage;1053.0
37119;Mecklenburg County;County;1990;Secondary Highway Mileage;858.08
37119;Mecklenburg County;County;1990;Traffic Accidents;20712.0
37119;Mecklenburg County;County;1975;Traffic Accident Fatalities;84.0
37119;Mecklenburg County;County;1989;Secondary Highway Mileage;829.99
37119;Mecklenburg County;County;1989;Auto and Truck Registrations;378171.0
37119;Mecklenburg County;County;1973;Traffic Accident Fatalities;66.0
37119;Mecklenburg County;County;1973;Persons Injured in Traffic Accidents;6361.0
37119;Mecklenburg County;County;1970;Persons Injured in Traffic Accidents;5569.0
37119;Mecklenburg County;County;1988;Unpaved Highway Mileage;78.06
37119;Mecklenburg County;County;1987;Traffic Accidents;19846.0
37119;Mecklenburg County;County;1985;Traffic Accidents;17072.0
37119;Mecklenburg County;County;1996;Paved Highway Mileage;1038.34
37119;Mecklenburg County;County;1996;Primary Highway Mileage;262.71
37119;Mecklenburg County;County;1996;Traffic Accident Fatalities;64.0
37119;Mecklenburg County;County;1996;Persons Injured in Traffic Accidents;17242.0
37119;Mecklenburg County;County;1984;Unpaved Highway Mileage;88.19
37119;Mecklenburg County;County;1984;Paved Highway Mileage;1044.81
37119;Mecklenburg County;County;1999;Primary Highway Mileage;281.29
37119;Mecklenburg County;County;2019;Traffic Accident Fatalities;90.0
37119;Mecklenburg County;County;2019;Pedestrian Accidents;396.0
37119;Mecklenburg County;County;2019;Pedestrians Injured;358.0
37119;Mecklenburg County;County;2019;Bicyclist Fatalities;1.0
37119;Mecklenburg County;County;2020;Traffic Accidents;30794.0
37119;Mecklenburg County;County;2020;Pedestrian Accidents;327.0
37119;Mecklenburg County;County;2020;Pedestrians Injured;292.0
37119;Mecklenburg County;County;2020;Pedestrian Fatalities;31.0
37119;Mecklenburg County;County;2020;Bicyclist Fatalities;4.0
37119;Mecklenburg County;County;2020;Motorcyclists Injured;182.0
37119;Mecklenburg County;County;2020;School Bus Accidents;70.0
37119;Mecklenburg County;County;2018;Traffic Accident Fatalities;107.0
37119;Mecklenburg County;County;2014;Secondary Highway Mileage;652.94
37119;Mecklenburg County;County;2012;Secondary Highway Mileage;657.33
37119;Mecklenburg County;County;2013;Traffic Accident Fatalities;61.0
37119;Mecklenburg County;County;2013;Secondary Highway Mileage;652.93
37119;Mecklenburg County;County;2013;Primary Highway Mileage;319.69
37119;Mecklenburg County;County;2013;Auto and Truck Registrations;641338.0
37119;Mecklenburg County;County;2012;Traffic Accident Fatalities;73.0
37119;Mecklenburg County;County;2007;Secondary Highway Mileage;721.24
37119;Mecklenburg County;County;2008;Traffic Accidents;25813.0
37119;Mecklenburg County;County;2010;Traffic Accident Fatalities;52.0
37119;Mecklenburg County;County;2010;Persons Injured in Traffic Accidents;13019.0
37119;Mecklenburg County;County;2006;Primary Highway Mileage;308.43
37119;Mecklenburg County;County;2005;Traffic Accident Fatalities;84.0
37119;Mecklenburg County;County;2004;Primary Highway Mileage;297.55
37119;Mecklenburg County;County;2003;Traffic Accident Fatalities;69.0
